Date,Venue,Song
2025-03-01,Warner Theatre - Washington DC,Storm Windows (John Prine cover - Solo)
2025-03-01,Warner Theatre - Washington DC,Danko/Manuel (Drive-By Truckers - Solo)

2022-06-09,St. Augustine Amphitheatre - St. Augustine FL,It Gets Easier
2022-06-09,St. Augustine Amphitheatre - St. Augustine FL,24 Frames
2022-06-09,St. Augustine Amphitheatre - St. Augustine FL,What've I Done to Help
2022-06-09,St. Augustine Amphitheatre - St. Augustine FL,Hope the High Road
2022-06-09,St. Augustine Amphitheatre - St. Augustine FL,Dreamsicle
2022-06-09,St. Augustine Amphitheatre - St. Augustine FL,Super 8
2022-06-09,St. Augustine Amphitheatre - St. Augustine FL,If We Were Vampires
2022-06-09,St. Augustine Amphitheatre - St. Augustine FL,Honeysuckle Blue (Drivin' n' Cryin' cover)
2022-06-09,St. Augustine Amphitheatre - St. Augustine FL,Last of My Kind
2022-06-09,St. Augustine Amphitheatre - St. Augustine FL,Speed Trap Town
2022-06-09,St. Augustine Amphitheatre - St. Augustine FL,Goddamn Lonely Love (Drive-By Truckers cover)
2022-06-09,St. Augustine Amphitheatre - St. Augustine FL,Be Afraid
2022-06-09,St. Augustine Amphitheatre - St. Augustine FL,Cover Me Up
2022-06-09,St. Augustine Amphitheatre - St. Augustine FL,Decoration Day (Drive-By Truckers cover)
